conso_chauffage_depensier_e_finale_ademe,volume_stockage_generateur_ecs_ndeg1_ademe,conso_e_finale_installation_ecs_ademe,conso_ecs_e_finale_energie_ndeg2_ademe,conso_ecs_e_finale_energie_ndeg1_ademe,besoin_refroidissement_ademe,conso_chauffage_depensier_installation_chauffage_ndeg1_ademe,configuration_installation_chauffage_ndeg1_ademe,configuration_installation_ecs_ademe,type_installation_chauffage_ndeg1_ademe,surface_chauffee_installation_chauffage_ndeg1_ademe,coordonnee_cartographique_x_ban_ademe,nombre_niveau_logement_ademe,apports_internes_saison_froid_ademe,type_installation_ecs_general_ademe,deperditions_murs_ademe,conso_5_usages_par_m2_e_primaire_ademe,cout_refroidissement_ademe,ubat_w_m2_k_ademe,usage_generateur_ecs_ndeg1_ademe,cout_ecs_depensier_ademe,emission_ges_auxiliaires_ademe,emission_ges_5_usages_par_m2_ademe,apports_solaires_saison_froid_ademe,ndeg_etage_appartement_ademe,type_energie_generateur_ecs_ndeg1_ademe,surface_habitable_immeuble_ademe,cout_total_5_usages_energie_ndeg2_ademe,type_generateur_ecs_ndeg1_ademe,besoin_ecs_ademe,logement_traversant_0_1_ademe,qualite_isolation_menuiseries_ademe,qualite_isolation_murs_ademe,type_emetteur_installation_chauffage_ndeg1_ademe,emission_ges_5_usages_energie_ndeg2_ademe,emission_ges_ecs_energie_ndeg2_ademe,classe_inertie_batiment_ademe,nombre_appartement_ademe,nombre_logements_desservis_par_installation_ecs_ademe,methode_application_dpe_ademe,surface_habitable_logement_ademe,deperditions_planchers_bas_ademe,coordonnee_cartographique_y_ban_ademe,periode_construction_ademe,emission_ges_chauffage_energie_ndeg2_ademe,indicateur_confort_ete_ademe,type_energie_ndeg1_ademe,type_energie_ndeg2_ademe,type_installation_ecs_ademe,presence_brasseur_air_0_1_ademe,qualite_isolation_plancher_haut_comble_perdu_ademe,cout_refroidissement_depensier_ademe,deperditions_planchers_hauts_ademe,emission_ges_refroidissement_depensier_ademe,type_batiment_ademe,apports_solaires_saison_chauffe_ademe,deperditions_renouvellement_air_ademe,protection_solaire_exterieure_0_1_ademe,deperditions_portes_ademe,usage_generateur_ndeg1_installation_ndeg1_ademe,version_dpe_ademe,deperditions_baies_vitrees_ademe,type_energie_generateur_ndeg1_installation_ndeg1_ademe,deperditions_ponts_thermiques_ademe,type_installation_chauffage_ademe,type_energie_principale_chauffage_ademe,inertie_lourde_0_1_ademe,qualite_isolation_enveloppe_ademe,isolation_toiture_0_1_ademe,etiquette_ges_ademe,etiquette_dpe_ademe,type_generateur_ndeg1_installation_ndeg1_ademe,cout_chauffage_energie_ndeg2_ademe,qualite_isolation_plancher_bas_ademe,conso_5_usages_m2_e_finale_ademe,hauteur_sous_plafond_ademe,cout_auxiliaires_ademe,score_ban_ademe,type_energie_principale_ecs_ademe,annee_construction_ademe,categorie_enr_ademe,qualite_isolation_plancher_haut_toit_terrase_ademe,nombre_niveau_immeuble_ademe,appartement_non_visite_0_1_ademe,consommation_annuelle_totale_de_l_adresse_mwh_enedis_with_ban,consommation_annuelle_moyenne_par_logement_de_l_adresse_mwh_enedis_with_ban,type_enedis_with_ban
25827.1,0.0,2621.9,0.0,2621.9,0,25827.1,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,191.1,650709.85,1.0,0.0,individuel,168.6,130.0,0.0,2.07,chauffage + ecs,197.3,24.7,27.0,0.0,0.0,Gaz naturel,,216.7,Chaudière gaz à condensation après 2015,"2115,5",True,très bonne,insuffisante,Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C),49.6,0.0,Moyenne,1.0,1.0,dpe appartement individuel,191.1,0.0,6861175.94,avant 1948,0.0,moyen,Gaz naturel,Électricité,installation individuelle,False,très bonne,0.0,0.0,0.0,appartement,3811.5,182.9,True,2.3,chauffage + ecs,2.3,31.9,Gaz naturel,23.9,individuel,Gaz naturel,False,insuffisante,False,C,C,Chaudière gaz à condensation après 2015,0.0,très bonne,125.0,2.7,111.9,0.72,Gaz naturel,,,,,,78.292,4.35,housenumber
1318.3,100.0,1153.0,,1153.0,0,1318.3,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,20.5,650709.85,1.0,0.0,individuel,13.8,246.0,0.0,0.26,ecs,240.4,0.0,7.0,0.0,0.0,Électricité,,,Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles,"783,5",False,insuffisante,insuffisante,Radiateur électrique à accumulation,,,Moyenne,1.0,1.0,dpe appartement individuel,20.5,0.0,6861175.94,avant 1948,,insuffisant,Électricité,,installation individuelle,False,insuffisante,0.0,2.6,0.0,appartement,106017.8,12.4,False,1.0,chauffage,2.2,2.0,Électricité,0.0,individuel,Électricité,False,très bonne,True,B,D,Radiateur électrique à accumulation,,très bonne,107.0,2.6,0.0,0.72,Électricité,,,,,,78.292,4.35,housenumber
49222.4,100.0,1772.3,3046.7,0.0,0,47488.7,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,183.0,650709.85,1.0,0.0,individuel,200.6,265.0,0.0,2.72,ecs,530.5,50.8,47.0,0.0,0.0,Électricité,,975.1,Ballon électrique à accumulation horizontal,"2127,8",True,insuffisante,insuffisante,Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C),384.2,198.0,Moyenne,1.0,1.0,dpe appartement individuel,192.9,0.0,6861175.94,avant 1948,110.2,insuffisant,Gaz naturel,Électricité,installation individuelle,False,très bonne,0.0,0.0,0.0,appartement,5893.8,211.1,False,7.0,chauffage,2.3,201.4,Gaz naturel,29.7,individuel,Gaz naturel,False,insuffisante,False,D,E,Chaudière gaz basse température 2001-2015,243.0,très bonne,227.0,3.1,138.1,0.72,Électricité,,,,,,78.292,4.35,housenumber
2468.6,100.0,1150.6,,1150.6,0,2468.6,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,20.3,650709.85,1.0,0.0,individuel,24.6,355.0,0.0,0.47,ecs,219.3,0.0,11.0,0.0,0.0,Électricité,,,Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles,"781,1",False,moyenne,insuffisante,Radiateur électrique à accumulation,,,Moyenne,1.0,1.0,dpe appartement individuel,20.3,0.0,6861175.94,avant 1948,,insuffisant,Électricité,,installation individuelle,False,insuffisante,0.0,2.5,0.0,appartement,119038.1,16.6,False,1.0,chauffage,2.2,4.6,Électricité,0.0,individuel,Électricité,False,bonne,True,C,F,Radiateur électrique à accumulation,,très bonne,154.0,2.6,0.0,0.72,Électricité,,,,,,78.292,4.35,housenumber
2526.3,100.0,1132.2,,1132.2,0,2526.3,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,18.8,650709.85,1.0,0.0,individuel,15.5,387.0,0.0,0.44,ecs,215.5,0.0,12.0,0.0,0.0,Électricité,,,Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles,"762,6",True,bonne,insuffisante,Radiateur électrique à accumulation,,,Moyenne,1.0,1.0,dpe appartement individuel,18.8,0.0,6861175.94,avant 1948,,insuffisant,Électricité,,installation individuelle,False,bonne,0.0,1.3,0.0,appartement,148507.1,20.3,False,5.2,chauffage,2.2,4.3,Électricité,3.7,individuel,Électricité,False,très bonne,True,C,F,Radiateur électrique à accumulation,,très bonne,168.0,2.6,0.0,0.72,Électricité,,,,,,78.292,4.35,housenumber
2898.7,100.0,1217.8,,1217.8,0,2898.7,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,25.8,650709.85,1.0,0.0,individuel,33.9,318.0,0.0,0.52,ecs,226.4,0.0,10.0,0.0,0.0,Électricité,,,Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles,"848,6",False,moyenne,insuffisante,Radiateur électrique à accumulation,,,Légère,1.0,1.0,dpe appartement individuel,25.8,0.0,6861175.94,avant 1948,,insuffisant,Électricité,,installation individuelle,False,bonne,0.0,1.1,0.0,appartement,119038.1,14.5,False,1.0,chauffage,2.2,5.6,Électricité,0.0,individuel,Électricité,False,bonne,True,B,E,Radiateur électrique à accumulation,,très bonne,138.0,2.6,0.0,0.72,Électricité,,,,,,78.292,4.35,housenumber
51684.6,80.0,1270.6,3263.2,0.0,0,51684.6,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,195.0,650709.85,1.0,0.0,individuel,170.8,262.0,0.0,2.7,ecs,743.3,31.6,50.0,0.0,0.0,Électricité,,939.9,Ballon électrique à accumulation horizontal,"2142,6",True,insuffisante,insuffisante,Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C),269.2,212.1,Moyenne,1.0,1.0,dpe appartement individuel,195.0,0.0,6861175.94,avant 1948,0.0,insuffisant,Gaz naturel,Électricité,installation individuelle,False,très bonne,0.0,0.0,0.0,appartement,3705.9,166.9,False,1.7,chauffage,2.4,194.3,Gaz naturel,33.2,individuel,Gaz naturel,False,insuffisante,False,E,E,Chaudière gaz standard après 2015,0.0,très bonne,235.0,3.1,112.6,0.72,Électricité,,,,,,78.292,4.35,housenumber
16466.2,0.0,1760.1,0.0,1760.1,0,16466.2,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,80.2,650709.85,1.0,0.0,individuel,98.2,200.0,0.0,2.51,chauffage + ecs,188.1,16.1,43.0,0.0,0.0,Gaz naturel,80.2,140.0,Chaudière gaz à condensation après 2015,1353,True,moyenne,insuffisante,Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C),26.6,0.0,Moyenne,1.0,1.0,dpe appartement individuel,80.2,0.0,6861175.94,avant 1948,0.0,insuffisant,Gaz naturel,Électricité,installation individuelle,False,très bonne,0.0,0.0,0.0,appartement,483.1,82.9,False,4.9,chauffage + ecs,2.4,31.0,Gaz naturel,12.3,individuel,Gaz naturel,False,insuffisante,False,D,D,Chaudière gaz à condensation après 2015,0.0,très bonne,194.0,2.9,87.4,0.72,Gaz naturel,,,,,,78.292,4.35,housenumber
792.9,50.0,1064.2,,1064.2,0,792.9,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation individuelle,13.5,650709.85,1.0,0.0,individuel,7.9,287.0,0.0,0.28,ecs,243.5,0.0,8.0,0.0,0.0,Électricité,,,Ballon électrique à accumulation horizontal,"697,6",False,insuffisante,insuffisante,Radiateur électrique à accumulation,,,Légère,1.0,1.0,dpe appartement individuel,13.5,0.0,6861175.94,avant 1948,,insuffisant,Électricité,,installation individuelle,False,bonne,0.0,0.9,0.0,appartement,354531.2,8.2,False,1.0,chauffage,2.2,4.4,Électricité,0.0,individuel,Électricité,False,très bonne,True,B,E,Radiateur électrique à accumulation,,très bonne,125.0,2.6,0.0,0.72,Électricité,,,,,,78.292,4.35,housenumber
9988.1,0.0,2755.1,0.0,2755.1,0,9988.1,Installation de chauffage simple,Un seul système d'ECS sans solaire,installation collective,55.6,655842.97,1.0,0.0,collectif,60.3,218.0,0.0,1.77,chauffage + ecs,251.9,31.2,63.0,0.0,0.0,Fioul domestique,1811.0,149.4,Chaudière fioul basse température 1991-2015,"1184,1",False,bonne,insuffisante,Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C),38.5,0.0,Moyenne,1.0,1.0,dpe appartement individuel,55.6,0.0,6860096.63,avant 1948,0.0,moyen,Fioul domestique,Électricité,installation collective,False,très bonne,0.0,0.0,0.0,appartement,522.8,34.2,False,0.6,chauffage + ecs,2.2,12.5,Fioul domestique,12.1,collectif,Fioul domestique,False,insuffisante,False,E,E,Chaudière fioul basse température 1991-2015,0.0,très bonne,204.0,2.8,119.0,0.76,Fioul domestique,,,,,,26.583,1.329,housenumber
